,user,points,state,vaccination_time,wave_no,decision,extraversion
347,91,90,V,2014-10-06 16:00:00,5,1,2.875
348,307,100,S,None,5,0,3.25
349,72,90,V,2014-10-09 14:50:00,5,1,3.75
350,94,100,S,None,5,0,3.3277
351,227,100,S,None,5,0,3.625
352,39,90,V,2014-10-06 14:10:00,5,1,4.125
353,198,60,V,2014-10-07 17:45:00,5,1,3.125
354,168,100,S,None,5,0,3.3277
355,372,48,V,2014-10-06 14:25:00,5,1,4.75
356,27,90,V,2014-10-06 14:10:00,5,1,3.875
357,480,100,S,None,5,0,3.3277
358,262,100,S,None,5,0,3.75
359,281,100,S,None,5,0,3.3277
360,292,100,S,None,5,0,2.75
361,120,100,S,None,5,0,3.625
362,306,100,S,None,5,0,3.125
363,263,100,S,None,5,0,3.375
364,279,90,V,2014-10-06 14:10:00,5,1,3.875
365,139,90,V,2014-10-07 15:00:00,5,1,3.3277
366,67,100,S,None,5,0,4.25
367,440,100,S,None,5,0,3.25
368,210,100,S,None,5,0,2.125
369,154,90,V,2014-10-06 18:15:00,5,1,2.5
370,105,100,S,None,5,0,3.125
